time,Y,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_50%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_50%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0.370078319999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27,-0.370078319999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26,0.597112839999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24,-0.413717869999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23,0.186683349999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22,0.0429801699999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,0.18405435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19,0.18724544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18,0.383637460000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17,0.22150014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,0.19367381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15,0.196475469999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14,0.19918378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13,-0.41568011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12,-0.19896658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11,-0.41543884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,-0.216914579999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9,-0.19849834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,0.0266063699999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,0.224421420000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,-0.139571909999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0.181475319999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0.184679540000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0.228657799999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.361106919999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.17562614,-0.159949857660383,-0.128199556708924,-0.111954367415816,-0.0932247045659616,-0.0805878899604389,-0.0705445503071446,-0.0619282591605377,-0.0271556361593517,0.00761698684183434,0.0162332779884412,0.0262766176417355,0.0389134322472582,0.0576430950971123,0.0738882843902205,0.105638585341679,-0.159949857660383,-0.128199556708924,-0.111954367415816,-0.0932247045659616,-0.0805878899604389,-0.0705445503071446,-0.0619282591605377,-0.0271556361593517,0.00761698684183434,0.0162332779884412,0.0262766176417355,0.0389134322472582,0.0576430950971123,0.0738882843902205,0.105638585341679
2,-0.09779786,-0.158212384753367,-0.126935055716372,-0.110931864705187,-0.0924812103758793,-0.0800326414945732,-0.0701389135753753,-0.0616509759749418,-0.0273963472471629,0.00685828148061606,0.0153462190810496,0.0252399470002475,0.0376885158815536,0.0561391702108615,0.0721423612220467,0.103419690259041,-0.158212384753367,-0.126935055716372,-0.110931864705187,-0.0924812103758793,-0.0800326414945732,-0.0701389135753753,-0.0616509759749418,-0.0273963472471629,0.00685828148061606,0.0153462190810496,0.0252399470002475,0.0376885158815536,0.0561391702108615,0.0721423612220467,0.103419690259041
3,0,-0.156373349078838,-0.125514402371383,-0.109725278626856,-0.0915214301463056,-0.0792393799994425,-0.0694779958916287,-0.0611035974972462,-0.0273071770566167,0.00648924338401272,0.0148636417783952,0.024625025886209,0.0369070760330722,0.0551109245136229,0.0709000482581496,0.101758994965604,-0.156373349078838,-0.125514402371383,-0.109725278626856,-0.0915214301463056,-0.0792393799994425,-0.0694779958916287,-0.0611035974972462,-0.0273071770566167,0.00648924338401272,0.0148636417783952,0.024625025886209,0.0369070760330722,0.0551109245136229,0.0709000482581496,0.101758994965604
4,0.40845968,-0.154866527723543,-0.124377125832427,-0.108777081413569,-0.0907912292861399,-0.0786562602437878,-0.0690117715352734,-0.0607376589849262,-0.0273459604585934,0.00604573806773935,0.0143198506180866,0.023964339326601,0.0360993083689531,0.0540851604963824,0.0696852049152397,0.100174606806356,-0.154866527723543,-0.124377125832427,-0.108777081413569,-0.0907912292861399,-0.0786562602437878,-0.0690117715352734,-0.0607376589849262,-0.0273459604585934,0.00604573806773935,0.0143198506180866,0.023964339326601,0.0360993083689531,0.0540851604963824,0.0696852049152397,0.100174606806356
5,-0.0725754399999996,-0.155584042519907,-0.125420604341211,-0.109987340773315,-0.0921937762857494,-0.0801885428011259,-0.0706471638011933,-0.0624615101997466,-0.0294268039835466,0.00360790223265354,0.0117935558341002,0.0213349348340328,0.0333401683186563,0.0511337328062218,0.0665669963741179,0.0967304345528138,-0.155584042519907,-0.125420604341211,-0.109987340773315,-0.0921937762857494,-0.0801885428011259,-0.0706471638011933,-0.0624615101997466,-0.0294268039835466,0.00360790223265354,0.0117935558341002,0.0213349348340328,0.0333401683186563,0.0511337328062218,0.0665669963741179,0.0967304345528138
6,-0.23808638,-0.156261650911883,-0.126385377296077,-0.111099042813657,-0.0934748781517362,-0.0815839379252476,-0.0721333955837107,-0.064025671746918,-0.0313054653869528,0.00141474097301246,0.00952246480980507,0.018973007151342,0.0308639473778306,0.0484881120397515,0.0637744465221709,0.0936507201379777,-0.156261650911883,-0.126385377296077,-0.111099042813657,-0.0934748781517362,-0.0815839379252476,-0.0721333955837107,-0.064025671746918,-0.0313054653869528,0.00141474097301246,0.00952246480980507,0.018973007151342,0.0308639473778306,0.0484881120397515,0.0637744465221709,0.0936507201379777
7,0.23808638,-0.156114500521591,-0.126490924342463,-0.111333883679935,-0.0938587865118703,-0.0820684214157869,-0.0726978129995995,-0.0646586653533052,-0.0322152107857851,0.000228243781734888,0.00826739142802924,0.0176379998442166,0.0294283649403,0.0469034621083647,0.0620605027708924,0.0916840789500205,-0.156114500521591,-0.126490924342463,-0.111333883679935,-0.0938587865118703,-0.0820684214157869,-0.0726978129995995,-0.0646586653533052,-0.0322152107857851,0.000228243781734888,0.00826739142802924,0.0176379998442166,0.0294283649403,0.0469034621083647,0.0620605027708924,0.0916840789500205
8,0.41055901,-0.157361713560767,-0.127960276747631,-0.112916894725868,-0.0955728386914628,-0.0838708864261404,-0.0745705457250981,-0.0665916815216422,-0.0343915118426395,-0.00219134216363691,0.00578752203981897,0.0150878627408613,0.0267898150061837,0.0441338710405888,0.0591772530623523,0.0885786898754882,-0.157361713560767,-0.127960276747631,-0.112916894725868,-0.0955728386914628,-0.0838708864261404,-0.0745705457250981,-0.0665916815216422,-0.0343915118426395,-0.00219134216363691,0.00578752203981897,0.0150878627408613,0.0267898150061837,0.0441338710405888,0.0591772530623523,0.0885786898754882
9,0.239160179999999,-0.160806945014624,-0.13160060412321,-0.11665704383805,-0.0994280758729777,-0.0878037729816522,-0.0785651455415272,-0.0706392258208855,-0.0386527233113838,-0.00666622080188198,0.00125969891875971,0.0104983263588846,0.0221226292502102,0.0393515972152828,0.054295157500442,0.0835014983918562,-0.160806945014624,-0.13160060412321,-0.11665704383805,-0.0994280758729777,-0.0878037729816522,-0.0785651455415272,-0.0706392258208855,-0.0386527233113838,-0.00666622080188198,0.00125969891875971,0.0104983263588846,0.0221226292502102,0.0393515972152828,0.054295157500442,0.0835014983918562
10,-0.0651245199999995,-0.16565386328552,-0.136618724384541,-0.121762760394807,-0.104634785348353,-0.0930786218997535,-0.0838941495286433,-0.0760146900351575,-0.0442156862923469,-0.0124166825495362,-0.00453722305605043,0.00464724931505975,0.0162034127636588,0.0333313878101135,0.0481873517998475,0.077222490700826,-0.16565386328552,-0.136618724384541,-0.121762760394807,-0.104634785348353,-0.0930786218997535,-0.0838941495286433,-0.0760146900351575,-0.0442156862923469,-0.0124166825495362,-0.00453722305605043,0.00464724931505975,0.0162034127636588,0.0333313878101135,0.0481873517998475,0.077222490700826
11,0.41166432,-0.170490975504443,-0.141605958455696,-0.126826805010538,-0.109787387602733,-0.098290973572503,-0.0891539881450173,-0.0813152682208437,-0.0496806764809261,-0.0180460847410086,-0.010207364816835,-0.00107037938934931,0.0104260346408808,0.0274654520486854,0.0422446054938434,0.0711296225425904,-0.170490975504443,-0.141605958455696,-0.126826805010538,-0.109787387602733,-0.098290973572503,-0.0891539881450173,-0.0813152682208437,-0.0496806764809261,-0.0180460847410086,-0.010207364816835,-0.00107037938934931,0.0104260346408808,0.0274654520486854,0.0422446054938434,0.0711296225425904
12,-0.23439986,-0.177567499420528,-0.148814031047765,-0.134102185095089,-0.117140368915484,-0.105696312065507,-0.0966009384651304,-0.0887979177834289,-0.0573073968831324,-0.0258168759828359,-0.0180138553011345,-0.00891848170075772,0.00252557514921911,0.0194873913288245,0.0341992372814997,0.0629527056542627,-0.177567499420528,-0.148814031047765,-0.134102185095089,-0.117140368915484,-0.105696312065507,-0.0966009384651304,-0.0887979177834289,-0.0573073968831324,-0.0258168759828359,-0.0180138553011345,-0.00891848170075772,0.00252557514921911,0.0194873913288245,0.0341992372814997,0.0629527056542627
13,0,-0.183882581643753,-0.155244316823773,-0.140591415305202,-0.123697558283087,-0.112299353154033,-0.103240421047916,-0.0954686639234769,-0.0641043128417109,-0.0327399617599449,-0.0249682046355061,-0.0159092725293892,-0.00451106740033452,0.0123827896217801,0.0270356911403516,0.0556739559603312,-0.183882581643753,-0.155244316823773,-0.140591415305202,-0.123697558283087,-0.112299353154033,-0.103240421047916,-0.0954686639234769,-0.0641043128417109,-0.0327399617599449,-0.0249682046355061,-0.0159092725293892,-0.00451106740033452,0.0123827896217801,0.0270356911403516,0.0556739559603312
14,-0.23256265,-0.190558137523016,-0.162020706886342,-0.147419397647085,-0.130585023218849,-0.119226950713491,-0.110199914744457,-0.10245552166555,-0.0712016032076217,-0.039947684749693,-0.0322032916707861,-0.0231762557017528,-0.0118181831963942,0.00501619123184115,0.0196175004710982,0.0481549311077729,-0.190558137523016,-0.162020706886342,-0.147419397647085,-0.130585023218849,-0.119226950713491,-0.110199914744457,-0.10245552166555,-0.0712016032076217,-0.039947684749693,-0.0322032916707861,-0.0231762557017528,-0.0118181831963942,0.00501619123184115,0.0196175004710982,0.0481549311077729
15,0,-0.196530388042939,-0.168081170730076,-0.153524996248619,-0.136742659305521,-0.125419696244336,-0.11642056414854,-0.108700110108263,-0.0775428020307298,-0.0463854939531971,-0.0386650399129198,-0.0296659078171237,-0.0183429447559388,-0.00156060781284087,0.0129955666686167,0.0414447839814791,-0.196530388042939,-0.168081170730076,-0.153524996248619,-0.136742659305521,-0.125419696244336,-0.11642056414854,-0.108700110108263,-0.0775428020307298,-0.0463854939531971,-0.0386650399129198,-0.0296659078171237,-0.0183429447559388,-0.00156060781284087,0.0129955666686167,0.0414447839814791
16,-0.289444529999999,-0.202912307764661,-0.174540227533023,-0.160023520598281,-0.14328668720889,-0.131994425179362,-0.123019693290285,-0.115320172454737,-0.0842473441636771,-0.0531745158726174,-0.0454749950370692,-0.036500263147992,-0.0252080011184646,-0.0084711677290736,0.00604553920566922,0.0344176194373071,-0.202912307764661,-0.174540227533023,-0.160023520598281,-0.14328668720889,-0.131994425179362,-0.123019693290285,-0.115320172454737,-0.0842473441636771,-0.0531745158726174,-0.0454749950370692,-0.036500263147992,-0.0252080011184646,-0.0084711677290736,0.00604553920566922,0.0344176194373071
17,-0.409562690000001,-0.208373360539759,-0.180068703440364,-0.165586493865116,-0.148889433721879,-0.137624006512707,-0.128670602088168,-0.120989378318159,-0.0899903911904519,-0.0589914040627443,-0.051310180292736,-0.0423567758681964,-0.0310913486590249,-0.0143942885157873,8.79210594598306e-05,0.0283925781588549,-0.208373360539759,-0.180068703440364,-0.165586493865116,-0.148889433721879,-0.137624006512707,-0.128670602088168,-0.120989378318159,-0.0899903911904519,-0.0589914040627443,-0.051310180292736,-0.0423567758681964,-0.0310913486590249,-0.0143942885157873,8.79210594598306e-05,0.0283925781588549
18,-0.735490479999999,-0.212372599550569,-0.184126851377576,-0.169674782828768,-0.153012473358668,-0.141770492263682,-0.132835722067441,-0.125170484806089,-0.0942360141657155,-0.0633015435253418,-0.0556363062639902,-0.0467015360677488,-0.0354595549727634,-0.0187972455026626,-0.00434517695385539,0.0239005712191377,-0.212372599550569,-0.184126851377576,-0.169674782828768,-0.153012473358668,-0.141770492263682,-0.132835722067441,-0.125170484806089,-0.0942360141657155,-0.0633015435253418,-0.0556363062639902,-0.0467015360677488,-0.0354595549727634,-0.0187972455026626,-0.00434517695385539,0.0239005712191377
19,-0.246407870000001,-0.213398301188363,-0.185204002934349,-0.170778258976109,-0.154146300073003,-0.142924796361479,-0.134006300940467,-0.126355025987128,-0.0954769028011876,-0.064598779615247,-0.0569475046619085,-0.0480290092408963,-0.0368075055293726,-0.0201755466262665,-0.00574980266802642,0.0224444955859876,-0.213398301188363,-0.185204002934349,-0.170778258976109,-0.154146300073003,-0.142924796361479,-0.134006300940467,-0.126355025987128,-0.0954769028011876,-0.064598779615247,-0.0569475046619085,-0.0480290092408963,-0.0368075055293726,-0.0201755466262665,-0.00574980266802642,0.0224444955859876
20,-0.81391105,-0.21374410365703,-0.185594723270485,-0.171191961748248,-0.154586500121968,-0.143382873997323,-0.134478587115631,-0.126839501823877,-0.0960105722526339,-0.0651816426813907,-0.0575425573896366,-0.0486382705079446,-0.0374346443832996,-0.0208291827570201,-0.00642642123478268,0.0217229591517619,-0.21374410365703,-0.185594723270485,-0.171191961748248,-0.154586500121968,-0.143382873997323,-0.134478587115631,-0.126839501823877,-0.0960105722526339,-0.0651816426813907,-0.0575425573896366,-0.0486382705079446,-0.0374346443832996,-0.0208291827570201,-0.00642642123478268,0.0217229591517619
21,-0.15693965,-0.210749948586648,-0.182639767415117,-0.16825706235373,-0.151674724542318,-0.140486699945784,-0.131594812664055,-0.123966365124989,-0.0931803661554962,-0.0623943671860037,-0.0547659196469371,-0.0458740323652088,-0.0346860077686743,-0.0181036699572621,-0.00372096489587566,0.0243892162756553,-0.210749948586648,-0.182639767415117,-0.16825706235373,-0.151674724542318,-0.140486699945784,-0.131594812664055,-0.123966365124989,-0.0931803661554962,-0.0623943671860037,-0.0547659196469371,-0.0458740323652088,-0.0346860077686743,-0.0181036699572621,-0.00372096489587566,0.0243892162756553
22,0,-0.207477971679504,-0.179401984083683,-0.165036774324495,-0.14847460747605,-0.137300192132468,-0.128419121053564,-0.120799952853427,-0.0900514023578583,-0.0593028518622894,-0.0516836836621531,-0.042802612583249,-0.0316281972396666,-0.0150660303912216,-0.000700820632033236,0.0273751669637872,-0.207477971679504,-0.179401984083683,-0.165036774324495,-0.14847460747605,-0.137300192132468,-0.128419121053564,-0.120799952853427,-0.0900514023578583,-0.0593028518622894,-0.0516836836621531,-0.042802612583249,-0.0316281972396666,-0.0150660303912216,-0.000700820632033236,0.0273751669637872
