cell,index,time,start_time,end_time,move_time
1,1,8,7,38,31
1,2,11,5,54,49
1,3,5,4,22,18
1,4,7,8,48,40
1,5,6,2,47,45
1,6,5,1,43,42
1,7,9,11,39,28
1,8,14,14,39,25
1,9,12,7,39,32
1,10,17,1,49,48
1,11,16,18,23,5
1,12,19,16,41,25
1,13,13,11,34,23
1,14,10,8,35,27
1,15,11,8,51,43
2,1,7,9,18,9
2,2,5,2,68,66
2,3,9,7,91,84
2,4,24,21,67,46
2,5,27,28,84,56
2,6,30,32,77,45
2,7,40,42,83,41
2,8,10,9,20,11
2,9,14,20,62,42
2,10,5,1,62,61
2,11,9,11,34,23
3,1,4,1,14,13
3,2,9,8,23,15
3,3,3,Inf,Inf,Inf
3,4,6,1,22,21
3,5,9,8,32,24
3,6,7,1,26,25
3,7,11,3,26,23
3,8,4,Inf,Inf,Inf
3,9,4,1,16,15
3,10,22,12,72,60
3,11,20,18,63,45
3,12,15,4,54,50
3,13,12,10,45,35
4,1,3,Inf,Inf,Inf
4,2,8,10,22,12
4,3,5,4,21,17
4,4,8,7,31,24
4,5,4,10,23,13
4,6,14,11,56,45
4,7,17,16,41,25
4,8,14,8,45,37
4,9,7,5,28,23
4,10,19,19,50,31
4,11,24,19,42,23
