cell,index,time,start_time,end_time,move_time
1,1,8,7,14,7
1,2,11,8,35,27
1,3,5,2,13,11
1,4,7,5,26,21
1,5,6,5,17,12
1,6,5,3,35,32
1,7,9,12,31,19
1,8,14,12,33,21
1,9,12,11,28,17
1,10,17,6,32,26
1,11,16,11,36,25
1,12,19,19,36,17
1,13,13,12,30,18
1,14,10,7,26,19
1,15,11,8,39,31
2,1,7,7,63,56
2,2,5,1,78,77
2,3,9,5,76,71
2,4,24,20,61,41
2,5,27,27,78,51
2,6,30,30,71,41
2,7,40,39,78,39
2,8,10,7,16,9
2,9,14,15,75,60
2,10,5,3,65,62
2,11,9,8,29,21
3,1,4,3,48,45
3,2,9,8,18,10
3,3,3,2,10,8
3,4,6,6,16,10
3,5,9,8,28,20
3,6,7,4,18,14
3,7,11,2,19,17
3,8,4,4,15,11
3,9,4,1,59,58
3,10,22,22,51,29
3,11,20,17,53,36
3,12,15,6,51,45
3,13,12,12,30,18
4,1,3,1,51,50
4,2,8,8,18,10
4,3,5,2,50,48
4,4,8,6,70,64
4,5,4,4,29,25
4,6,14,14,37,23
4,7,17,17,33,16
4,8,14,5,38,33
4,9,7,5,20,15
4,10,19,19,39,20
4,11,24,22,72,50
