time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15
-29,0,10.56522133,13.49660001,7.31355337,9.03074013,14.62080381,7.01941642,8.22431121,15.54285919,19.59638179,13.24477932,10.70984748,15.54617553,11.87784322,14.13347761,16.96253494
-28,0,10.42622214,13.54385706,7.50018647,8.79038231,14.42624237,6.76298241,7.92163892,15.44141111,19.61335967,12.91946613,11.0799258,15.6658202,12.04106581,14.34256829,16.92508478
-27,0,10.4793751,13.38558534,7.66221656,8.74665735,14.25018062,6.49048519,7.85233132,15.44141111,19.25746733,12.50185358,10.70984748,15.52300591,11.6611871,14.54942277,16.89152243
-26,0,10.46126083,13.33824067,6.94622064,8.62577575,13.99548475,6.42927137,7.91270524,15.64020705,18.81298201,12.89047803,11.30696032,15.00864865,11.74146997,14.13347761,16.89152243
-25,0,10.28292546,13.38515691,6.87031196,8.63813976,13.71488125,6.54956082,8.36252859,15.89896996,18.54089793,13.5480765,11.30696032,14.88940007,11.93157408,13.9266477,16.89152243
-24,0,10.25780695,13.4936183,7.4164536,8.65076895,13.89237818,6.48801467,8.4709953,15.80751665,18.78617765,13.94492108,10.89324245,14.77380743,12.12967033,13.9266477,17.15469363
-23,0,10.03939144,13.43137646,7.86693873,8.87081053,13.88166981,6.39284789,8.47714934,16.00096138,18.81308776,14.20567967,11.0799258,14.88940007,11.69231015,13.9266477,17.15469363
-22,0,9.77828907,13.21414043,8.19170892,9.51399747,13.41333102,6.61747254,8.79975358,16.44619059,18.65836152,14.60245024,11.12290597,15.1593994,11.44167631,13.9266477,17.12929918
-21,0,9.57988936,13.27809704,8.177192,9.49400538,13.43353085,6.49413119,9.06353566,16.79388324,18.2583837,15,11.12290597,15.04536378,11.3916174,13.9266477,17.12929918
-20,0,9.49070782,13.13003964,7.94575417,9.74140644,13.47217298,6.41820855,9.22274233,17.04112602,17.94651668,15.02809445,11.30696032,15.04536378,11.30696032,14.13799822,17.12929918
